,ligand_name,rpos,dG_ts2
0,1-benzylpyrrole,3,20.70174162898911
1,1-benzylpyrrole,4,20.19879977783421
2,1-benzylpyrrole,5,21.569868235790636
3,1-benzylpyrrole,8,14.441957751347218
4,1-benzylpyrrole,9,17.31910737423459
5,1-methylindole,4,21.160615751170553
6,1-methylindole,5,21.72154991631396
7,1-methylindole,6,21.019685586332344
8,1-methylindole,7,24.095110730500892
9,1-methylindole,8,17.181159642874263
10,1-methylindole,9,20.18182363419328
11,1-methylpyrrole,2,16.74446729326155
12,1-methylpyrrole,3,18.459253411274403
13,"2,3-dihydrothieno[3,4-b][1,4]dioxine",1,15.538518715882674
14,2-methoxyfuran,3,15.325198304606602
15,2-methoxyfuran,4,16.441172716324218
16,2-methoxyfuran,5,13.108055692864582
17,2-methylfuran,2,17.848976643872447
18,2-methylfuran,3,21.82163079921156
19,2-methylfuran,4,15.499582289368846
20,2-tert-butylfuran,3,21.09017822309397
21,2-tert-butylfuran,4,18.571398597210646
22,2-tert-butylfuran,5,16.02585806848947
23,furan,0,15.69094130495796
24,furan,1,18.125111359579023
25,furan-2-yloxy(trimethyl)silane,5,16.079815001401585
26,furan-2-yloxy(trimethyl)silane,6,19.103017108805943
27,furan-2-yloxy(trimethyl)silane,7,13.449616899422836
28,tri(propan-2-yl)-pyrrol-1-ylsilane,4,20.39646980841644
29,tri(propan-2-yl)-pyrrol-1-ylsilane,5,19.41776681970805
30,trimethyl(pyrrol-1-yl)silane,3,17.43605619558366
31,trimethyl(pyrrol-1-yl)silane,4,17.495737000193913
