,ligand_name,rpos,dG(TS1)
15,1-methylpyrrole,2,23.07433598814532
16,1-methylpyrrole,3,23.986335195950232
14,"2,3-dihydrothieno[3,4-b][1,4]dioxine",1,20.47244193649385
7,2-methoxy-1-methylpyrrole,6,22.498945926781744
8,2-methoxy-1-methylpyrrole,7,19.304965939023532
17,2-methoxyfuran,3,20.0140599810984
18,2-methoxyfuran,4,26.619653902598657
19,2-methoxyfuran,5,12.666100564529188
4,2-methylfuran,2,26.712074097711593
5,2-methylfuran,3,26.563618324813433
6,2-methylfuran,4,18.789063559030183
11,2-tert-butylfuran,3,34.589610052120406
12,2-tert-butylfuran,4,26.550229712564033
13,2-tert-butylfuran,5,18.227834044897463
9,furan,0,21.0154350551893
10,furan,1,26.98636429902399
0,furan-2-yloxy(trimethyl)silane,6,27.096617002622224
1,furan-2-yloxy(trimethyl)silane,7,13.464344046777114
2,trimethyl(pyrrol-1-yl)silane,3,26.371568576840218
3,trimethyl(pyrrol-1-yl)silane,4,23.228703238710295
