role,compound_name,smiles,rpos
substrate,1-methylpyrrole,CN1C=CC=C1,2;
substrate,N-(4-cyanophenyl)acetamide,N#CC1=CC=C(NC(C)=O)C=C1,4;
substrate,"1,3-dimethoxybenzene",COC1=CC=CC(OC)=C1,3;
catalyst,morpholine,BC1=C(N2CCOCC2)C=CC=C1,
catalyst,thiomorpholine,BC1=C(N2CCSCC2)C=CC=C1,
catalyst,N_methyl_piperazine,BC1=C(N2CCN(C)CC2)C=CC=C1,
catalyst,pyrrolidine,BC1=C(N2CCCC2)C=CC=C1,
catalyst,azepane,BC1=C(N2CCCCCC2)C=CC=C1,
catalyst,diisopropylamino,BC1=C(N(C(C)C)C(C)C)C=CC=C1,
catalyst,phenylpiperidine,BC1=C(N2CCC(CC2)C3=CC=CC=C3)C=CC=C1,
catalyst,para_fluoro_NMe,CN(C)C1=CC=C(F)C=C1B,
catalyst,para_trifluoromethyl_NMe,CN(C)C1=CC=C(C(F)(F)F)C=C1B,
catalyst,para_methoxy_NMe,CN(C)C1=CC=C(OC)C=C1B,
