compound_name,smiles
morpholine_dimer,C1(N2CCOCC2)=CC=CC=C1[BH-]3[H+][BH-]([H+]3)C4=CC=CC=C4N5CCOCC5
thiomorpholine_dimer,C1(N2CCSCC2)=CC=CC=C1[BH-]3[H+][BH-]([H+]3)C4=CC=CC=C4N5CCSCC5
piperazine_NMe_dimer,C1(N2CCN(C)CC2)=CC=CC=C1[BH-]3[H+][BH-]([H+]3)C4=CC=CC=C4N5CCN(C)CC5
pyrrolidine_dimer,C1(N2CCCC2)=CC=CC=C1[BH-]3[H+][BH-]([H+]3)C4=CC=CC=C4N5CCCC5
azepane_dimer,C1(N2CCCCCC2)=CC=CC=C1[BH-]3[H+][BH-]([H+]3)C4=CC=CC=C4N5CCCCCC5
diisopropylamino_dimer,CC(C)N(C(C)C)C1=CC=CC=C1[BH-]2[H+][BH-]([H+]2)C3=CC=CC=C3N(C(C)C)C(C)C
phenylpiperidine_dimer,C1(N2CCC(CC2)C3=CC=CC=C3)=CC=CC=C1[BH-]4[H+][BH-]([H+]4)C5=CC=CC=C5N6CCC(CC6)C7=CC=CC=C7
para_fluoro_NMe_dimer,CN(C)C1=CC=C(F)C=C1[BH-]2[H+][BH-]([H+]2)C3=CC=C(F)C=C3N(C)C
para_trifluoromethyl_NMe_dimer,CN(C)C1=CC=C(C(F)(F)F)C=C1[BH-]2[H+][BH-]([H+]2)C3=CC=C(C(F)(F)F)C=C3N(C)C
para_methoxy_NMe_dimer,CN(C)C1=CC=C(OC)C=C1[BH-]2[H+][BH-]([H+]2)C3=CC=C(OC)C=C3N(C)C
