,smiles
0,CC(C)(C)CC(N(B1OC(C)(C)C(C)(C)O1)C2=CC=CC(Cl)=C2)=O
1,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=C(N(B4OC(C)(C)C(C)(C)O4)C(CC(C)(C)C)=O)C=C(Cl)C=C3)C=CC=C2
2,CC1(C)N(C(C)(C)CCC1)C2=C(B(C3=C(N(B4OC(C)(C)C(C)(C)O4)C(CC(C)(C)C)=O)C=C(Cl)C=C3)C5=C(N(B6OC(C)(C)C(C)(C)O6)C(CC(C)(C)C)=O)C=C(Cl)C=C5)C=CC=C2
3,CC(C)(C)CC(N(B1OC(C)(C)C(C)(C)O1)C2=C(B3OC(C)(C)C(C)(C)O3)C=CC(Cl)=C2)=O
4,CC(C)(C)CC(NC1=CC=CC(Cl)=C1)=O
5,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=C(NC(CC(C)(C)C)=O)C=C(Cl)C=C3)C=CC=C2
6,CC1(C)N(C(C)(C)CCC1)C2=C(B(C3=C(NC(CC(C)(C)C)=O)C=C(Cl)C=C3)C4=C(NC(CC(C)(C)C)=O)C=C(Cl)C=C4)C=CC=C2
7,CC(C)(C)CC(NC1=C(B2OC(C)(C)C(C)(C)O2)C=CC(Cl)=C1)=O
8,CC(N(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C#N)C=C2)=O
9,CC1(C)N(C(C)CCC1)C2=C(BC3=CC(C#N)=CC=C3N(B4OC(C)(C)C(C)(C)O4)C(C)=O)C=CC=C2
10,CC1(C)N(C(C)CCC1)C2=C(B(C3=CC(C#N)=CC=C3N(B4OC(C)(C)C(C)(C)O4)C(C)=O)C5=CC(C#N)=CC=C5N(B6OC(C)(C)C(C)(C)O6)C(C)=O)C=CC=C2
11,CC(N(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C#N)C=C2B3OC(C)(C)C(C)(C)O3)=O
12,CC(NC1=CC=C(C#N)C=C1)=O
13,CC1(C)N(C(C)CCC1)C2=C(BC3=CC(C#N)=CC=C3NC(C)=O)C=CC=C2
14,CC1(C)N(C(C)CCC1)C2=C(B(C3=CC(C#N)=CC=C3NC(C)=O)C4=CC(C#N)=CC=C4NC(C)=O)C=CC=C2
15,CC(NC1=CC=C(C#N)C=C1B2OC(C)(C)C(C)(C)O2)=O
