,smiles
24,CC1(C)[NH+](C(C)(C)CCC1)C2=C([BH2-]N3C=CC=C3)C=CC=C2
25,CC1(C)N(C(C)(C)CCC1)C2=C(BN3C=CC=C3)C=CC=C2
26,CC1(C)N(C(C)(C)CCC1)C2=C(BN3C=CC=C3)C=CC=C2
27,CC1(C)N(C(C)(C)CCC1)C2=C([B-]3([H])[N+]4([B-]5([H+]3)OC(C)(C)C(C)(C)O5)C=CC=C4)C=CC=C2
28,BC1=C(N2C(C)(C)CCCC2(C)C)C=CC=C1
30,CC1(C)[NH+](C(C)(C)CCC1)C2=C([BH2-]C3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C=CC=C2
31,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C=CC=C2
32,CC1(C)N(C(C)(C)CCC1)C2=C(BC3=CC=CC=C3OB4OC(C)(C)C(C)(C)O4)C=CC=C2
33,CC1(C)N(C(C)(C)CCC1)C2=C([B-]3([H])C4([B-]5([H+]3)OC(C)(C)C(C)O5)/C(C=CC=C4)=[O+]/B6OC(C)(C)C(C)(C)O6)C=CC=C2
34,CC1(C)C(C)(C)OB(OC2=CC=CC=C2B3OC(C)(C)C(C)(C)O3)O1
