,smiles
0,CC1(C)N(C(C)(C)CCC1)C2=C([B-]3([H+][B-](C4=CC=CN4C)([H+]3)C5=C(N6C(C)(C)CCCC6(C)C)C=CC=C5)C7=CC=CN7C)C=CC=C2
1,CC1(C)N(C(C)(C)CCC1)C2=C([BH-]3[H+][B-](C4=CC=CN4C)([H+]3)C5=C(N6C(C)(C)CCCC6(C)C)C=CC=C5)C=CC=C2
2,CN1C([B-](C(C=CC=C2)=C2N3C(C)(CCCC(C)3C)C)(C45CC=C[NH+]4C)C6([B-]5(C7=CC=CN7C)C8=C(N9C(C)(C)CCCC9(C)C)C=CC=C8)[NH+](C=CC6)C)=CC=C1
3,CC1(C)N(C(C)(C)CCC1)C2=C([B-]3(C4([BH-]([H+]3)C5=C(N6C(C)(C)CCCC6(C)C)C=CC=C5)CC=C[NH+]4C)C7=CC=CN7C)C=CC=C2
4,CC1(C)N(C(C)(C)CCC1)C2=C([B-]3([H+][B-](C4=CC=CN4)([H+]3)C5=C(N6C(C)(C)CCCC6(C)C)C=CC=C5)C7=CC=CN7)C=CC=C2
5,CC1(C)N(C(C)(C)CCC1)C2=C([BH-]3[H+][B-](C4=CC=CN4)([H+]3)C5=C(N6C(C)(C)CCCC6(C)C)C=CC=C5)C=CC=C2
6,CC1(CCCC(C)(N1C2=C(C=CC=C2)[B-](C3([B-]4(C5=CC=CN5)C6=C(N7C(C)(C)CCCC7(C)C)C=CC=C6)[NH2+]C=CC3)(C84CC=C[NH2+]8)C9=CC=CN9)C)C
7,CC1(CCCC(C)(N1C2=C(C=CC=C2)[BH-](C34CC=C[NH2+]3)[H+][B-]4(C5=CC=CN5)C6=C(N7C(C)(C)CCCC7(C)C)C=CC=C6)C)C
8,CC1(C)N(C(C)(C)CCC1)C2=C([B-]3([H+][B-](C4=CC=CN4B5OC(C)(C)C(C)(C)O5)([H+]3)C6=C(N7C(C)(C)CCCC7(C)C)C=CC=C6)C8=CC=CN8B9OC(C)(C)C(C)(C)O9)C=CC=C2
9,CC1(C)N(C(C)(C)CCC1)C2=C([BH-]3[H+][B-](C4=CC=CN4B5OC(C)(C)C(C)(C)O5)([H+]3)C6=C(N7C(C)(C)CCCC7(C)C)C=CC=C6)C=CC=C2
10,CC1(CCCC(C)(N1C2=C(C=CC=C2)[B-](C3([B-]4(C5=CC=CN5B6OC(C)(C)C(C)(C)O6)C7=C(N8C(C)(C)CCCC8(C)C)C=CC=C7)[NH+](B9OC(C)(C)C(C)(C)O9)C=CC3)(C%104CC=C[NH+]%10B%11OC(C)(C)C(C)(C)O%11)C%12=CC=CN%12B%13OC(C)(C)C(C)(C)O%13)C)C
11,CC1(CCCC(C)(N1C2=C(C=CC=C2)[BH-](C34CC=C[NH+]3B5OC(C)(C)C(C)(C)O5)[H+][B-]4(C6=CC=CN6B7OC(C)(C)C(C)(C)O7)C8=C(N9C(C)(C)CCCC9(C)C)C=CC=C8)C)C
